country,city,program_count
Australia,Sydney,130
Australia,Melbourne,115
Australia,Brisbane,74
Australia,Perth,70
Australia,Adelaide,45
Australia,Canberra,27
Australia,Wollongong,21
Australia,Townsville,20
Australia,Hobart,17
Australia,Newcastle,16
Australia,Gold Coast,16
Australia,Bathurst,16
Australia,Rockhampton,15
Australia,Sippy Downs,15
Australia,Lismore,13
Australia,Darwin,11
Australia,Ballarat,10
Australia,Toowoomba,7
Australia,Joondalup,6
Australia,Armidale,4
Australia,Ipswich,2
Australia,Springfield,1
Canada,"Toronto, ON",69
Canada,"Montreal, QC",63
Canada,"Ottawa, ON",40
Canada,"Halifax, NS",38
Canada,"Victoria, BC",29
Canada,"Edmonton, AB",27
Canada,"Calgary, AB",26
Canada,"Quebec City, QC",25
Canada,"Burnaby, BC",24
Canada,"Kingston, ON",24
Canada,"London, ON",23
Canada,"Winnipeg, MB",22
Canada,"Waterloo, ON",17
Canada,"Vancouver, BC",17
Canada,"Hamilton, ON",17
Canada,"St. John's, NL",17
Canada,"Saskatoon, SK",16
Canada,Fredericton,16
Canada,Sydney,15
Canada,Thunder Bay,14
Canada,Peterborough,14
Canada,Antigonish,13
Canada,Waterloo,13
Canada,Edmonton,13
Canada,Welland,13
Canada,Nanaimo,13
Canada,Victoria,12
Canada,Calgary,12
Canada,Prince George,11
Canada,North Vancouver,11
Canada,London,11
Canada,Charlottetown,11
Canada,Toronto,11
Canada,Hamilton,11
Canada,"Guelph, ON",10
Canada,Sackville,10
Canada,Castlegar,10
Canada,Langley,10
Canada,"Windsor, ON",9
Canada,Wolfville,9
Canada,Sherbrooke,9
Canada,"Kamloops, BC",9
Canada,"Lethbridge, AB",9
Canada,"Athabasca, AB",8
Canada,"Montréal, QC",8
Canada,"Abbotsford, BC",7
Canada,"St. Catharines, ON",6
Canada,"Oshawa, ON",5
Canada,"Sault Ste. Marie, ON",5
Canada,"Barrie, ON",4
Canada,"Surrey, BC",4
Canada,"Regina, SK",4
Canada,"Brampton, ON",3
Canada,Montreal,2
Canada,"Kitchener, ON",2
Canada,"Sudbury, ON",1
France,Paris,132
France,Nantes,39
France,Bordeaux,31
France,Lille,29
France,Toulouse,27
France,Strasbourg,23
France,Grenoble,23
France,Lyon,20
France,Palaiseau,19
France,Marseille,13
France,Montpellier,13
France,Cergy,9
France,Dijon,7
France,Rennes,5
France,Gif-sur-Yvette,4
France,Fontainebleau,3
Germany,Berlin,79
Germany,Tübingen,66
Germany,Munich,47
Germany,Aachen,32
Germany,Hamburg,32
Germany,Erlangen,25
Germany,Dresden,24
Germany,Frankfurt,24
Germany,Darmstadt,22
Germany,Karlsruhe,21
Germany,Bremen,21
